,DWG 추가,P&ID 변경,Line 추가,사업주 요청사항,Design 변경,Spec 변경,Plot Plan 변경,Line 변경,Location 변경,기타변경,Valve 추가,Valve 변경,Spec 추가
343,0.0006389980686175434,0.2946424804454964,0.17217120034003575,0.0007499286577551834,0.0414049725375801,0.04766376416562055,0.0005032714683954972,0.12337008555011936,0.0979297333312399,0.0007691643418544507,0.0008598717078624255,0.0008582324468733249,0.21843829693854921
344,8.248256202076305e-06,5.929841779793419e-07,0.0027382987652431676,3.200781054467824e-06,0.0006627478607985379,1.7983049073085618e-07,3.488918129431827e-08,6.71886316315188e-07,1.1418208422452562e-05,6.952767869661272e-09,4.946997666017183e-10,2.53936498591052e-05,0.996549205440787
345,0.00011556974715676946,0.12208752633827621,0.12722389496271094,9.599198362391536e-08,0.11811364851423098,0.0004249588621932899,0.0003059118343289726,0.19167080098311198,0.010857340486408728,0.21433644699833546,0.0015474571701068695,0.0006227296692981548,0.21269361844185794
346,6.162044758687572e-09,1.8581867498487515e-06,0.9999051976893601,1.2015559279822738e-09,7.516481804096538e-10,7.432564231367192e-08,1.6387878944481155e-08,2.0616819145001304e-05,8.615530935971591e-07,3.150334148310004e-07,1.8570762167628767e-13,5.740532412835648e-06,6.531135686850077e-05
347,6.162044758687572e-09,1.8581867498487515e-06,0.9999051976893601,1.2015559279822738e-09,7.516481804096538e-10,7.432564231367192e-08,1.6387878944481155e-08,2.0616819145001304e-05,8.615530935971591e-07,3.150334148310004e-07,1.8570762167628767e-13,5.740532412835648e-06,6.531135686850077e-05
348,6.049011494514505e-06,0.09217020365201756,0.0002730991125796514,0.0007079283233339998,0.000197209081083259,4.060652970691268e-06,2.1441338341810673e-06,0.1838709979014356,0.05739645608654438,0.5679489911817158,0.01628002028511927,4.364707747967336e-06,0.08113847587012318
349,0.0006200407091328624,0.000712970643425502,0.0008311609076238564,0.0007276802851056592,0.19929183766764955,0.0004579179017193898,0.0004883407532442014,0.0005955722680503734,0.00047275831194881074,0.0007463452980302976,0.0008343616196834092,0.0008327709911728495,0.7933882426432131
350,0.0006200407091328624,0.000712970643425502,0.0008311609076238564,0.0007276802851056592,0.19929183766764955,0.0004579179017193898,0.0004883407532442014,0.0005955722680503734,0.00047275831194881074,0.0007463452980302976,0.0008343616196834092,0.0008327709911728495,0.7933882426432131
351,0.0006200407091328624,0.000712970643425502,0.0008311609076238564,0.0007276802851056592,0.19929183766764955,0.0004579179017193898,0.0004883407532442014,0.0005955722680503734,0.00047275831194881074,0.0007463452980302976,0.0008343616196834092,0.0008327709911728495,0.7933882426432131
352,0.0006200407091328624,0.000712970643425502,0.0008311609076238564,0.0007276802851056592,0.19929183766764955,0.0004579179017193898,0.0004883407532442014,0.0005955722680503734,0.00047275831194881074,0.0007463452980302976,0.0008343616196834092,0.0008327709911728495,0.7933882426432131
353,0.0006200407091328624,0.000712970643425502,0.0008311609076238564,0.0007276802851056592,0.19929183766764955,0.0004579179017193898,0.0004883407532442014,0.0005955722680503734,0.00047275831194881074,0.0007463452980302976,0.0008343616196834092,0.0008327709911728495,0.7933882426432131
354,0.006947587997197802,0.11132752432812207,0.22708455953468135,4.0565646643760906e-05,0.13972658991225284,0.028105591874218037,0.04086217274788312,0.10959677785585058,0.005297281170883953,0.0166840686518298,4.651276024645728e-05,0.06968255644171938,0.24459821107847093
355,2.1086117567162732e-07,0.3780429221698278,8.015539092001245e-07,5.0078341812943405e-09,2.6091815778661263e-06,0.0026119783256198866,0.0010226256671469615,0.000998311651153576,2.4166561930741778e-05,9.414459237932533e-07,1.6777330847943916e-07,0.004136107888317466,0.6131591519122748
